experiment,gene,matched_mock_rs,RPF_repression,score_percentile,rpf_decreased,quartile
U2OS_miR155,CEP63,0.0638841912150383,-0.254346529,0.0701754385964912,False,Q1
U2OS_miR155,RBM28,0.062787152826786,0.247462213,0.0526315789473684,True,Q1
U2OS_miR155,GLG1,0.0591312013566494,0.559058828,0.0350877192982456,True,Q1
U2OS_miR155,NEMP1,0.047307401895523,1.439513545,0.0175438596491228,True,Q1
HEK293T_miR1,CAAP1,0.1764220297336578,0.2240402739999999,1.0,True,Q4
HEK293T_miR1,C6orf120,0.1192981749773025,-0.290623975,0.9090909090909092,False,Q4
HEK293T_miR1,FNDC3A,0.1104165688157081,0.636000257,0.8181818181818182,True,Q4
HEK293T_miR1,DICER1,0.1080494672060012,0.098238641,0.7272727272727273,True,Q3
HEK293T_miR1,DDX5,0.1073434427380561,0.550036216,0.6363636363636364,True,Q3
HEK293T_miR1,NCL,0.1015903502702713,-0.036414465,0.5454545454545454,False,Q2
HEK293T_miR1,SLC25A22,0.0811545699834823,0.754411566,0.4545454545454545,True,Q2
HEK293T_miR1,ZBTB38,0.0780607312917709,0.060687927,0.3636363636363636,True,Q2
HEK293T_miR1,SNTB2,0.0757714882493019,0.025498498,0.2727272727272727,True,Q1
HEK293T_miR1,GNAI3,0.0733547806739807,-0.039571592,0.1818181818181818,False,Q1
HEK293T_miR1,TCEANC2,0.0660309717059135,-0.371423086,0.0909090909090909,False,Q1
