dataset	gene	UTRPRISM	Sequence-only	Zero coverage	miRanda	tg_repression	wt_mean
GSE83684	Orc2	0.2521480162657423	0.2539433484021876	0.2224388335480106	0.2647704610671533	0.5511506962400654	20.0756
GSE83684	Osgep	0.1209486912973637	0.1584633415722998	0.2081101601210813	0.1980650861776003	-0.0037202528538307	41.3621
GSE83684	Otud4	0.1424296828246559	0.0900658288450029	0.0736086175942549	0.1268701376421304	0.0180817482374218	11.8995
GSE83684	Papola	0.2588336806298085	0.2894919193476462	0.193003177887078	0.1108572006412137	0.1143199290587215	24.8673
GSE83684	Parp3	0.1645721125074805	0.1499102333931777	0.1439257929383602	0.1313584679832435	-0.9293292867736772	10.0799
GSE83684	Pax5	0.0088788604880229	0.0022197151220057	0.0185552582740128	0.0701256499637906	-0.062097357794169	283.762
GSE83684	Pcgf5	0.1341570739606435	0.1496931507492284	0.1634104270074277	0.13308632848711	0.6212800803965508	17.4017
GSE83684	Pdf	0.1558946738479952	0.1603830041891083	0.1543985637342908	0.0070317175344105	-0.0854188098335591	19.5164
GSE83684	Pdk1	0.0637342908438061	0.1008378216636744	0.0658288450029922	0.0243865948533812	0.2080553438836587	16.1184
GSE83684	Pdp2	0.1578309138621854	0.1878136236367162	0.1825386957898383	0.1932928679063244	0.1526071946605243	11.8034
GSE83684	Pdrg1	0.2727777584374808	0.2345361892873542	0.0668906273052943	0.1454032534800101	0.5104482562007897	29.0957
GSE83684	Pex7	0.0399001377581722	0.0611540189413342	0.1488882368445918	0.3249078711140508	0.0838939532613487	14.4699
GSE83684	Pfn1	0.1690306035333064	0.175203197448407	0.1866681254776362	0.1056100399349502	-0.2800702300396747	3354.05
GSE83684	Pgls	0.1660682226211849	0.165769000598444	0.1636744464392579	0.0330640335128665	-0.8324426014622244	161.846
GSE83684	Pias1	0.0858767205266307	0.0981448234590065	0.1104129263913824	0.0712148414123279	0.0221486285439063	22.7434
GSE83684	Picalm	0.0081817744777705	0.0634367265608034	0.0577854917933594	0.0589181424694685	-0.5020285129445314	34.244
GSE83684	Pigx	0.0625374027528426	0.0819868342309994	0.1071214841412327	0.1229802513464991	-0.0680324652425987	17.8231
GSE83684	Pik3ap1	0.2904289728605235	0.3927994103890627	0.4198409673506094	0.3244430468580391	-0.2994125145268391	112.931
GSE83684	Pik3cd	0.0425954774395909	0.0620484017818263	0.1251696949798229	0.185560150612299	-0.5330603596583856	39.1041
GSE83684	Polr2f	0.1546676932196403	0.1331809591078376	0.1549669152423811	0.2488353809507046	-0.3262666741398314	159.8
GSE83684	Polr3c	0.200860035376166	0.1400052384575726	0.2117265193599135	0.1521278747279234	0.0295712631589033	36.3231
GSE83684	Polr3h	0.080490724117295	0.0909634949132256	0.0532615200478755	0.0070317175344105	-0.5827222723219667	14.163
GSE83684	Ppil3	0.1334530221424296	0.1211849192100538	0.1172950329144225	0.0858767205266307	0.9740013152970056	50.0956
GSE83684	Ppp2ca	0.0427887492519449	0.0323159784560143	0.0619389587073608	0.0330640335128665	0.0091780340384177	156.399
GSE83684	Ppp6c	0.0855774985038898	0.1403351286654698	0.1478156792339916	0.1154997007779772	0.8728837508352427	85.0432
GSE83684	Psmb1	0.1332598954629321	0.1612591196407346	0.1567707892996215	0.2036852383249534	-0.0105976098241882	510.484
GSE83684	Psmc6	0.262039749283442	0.3234672952815753	0.3162088818379692	0.2797278322897862	0.7222446985150688	255.891
GSE83684	Pxn	0.0315302098201186	0.1200253302631993	0.2139835320134409	0.1303099475988468	-0.3192797101042028	25.5198
GSE83684	Rab3gap1	0.1185035251835532	0.2074429198764652	0.1788966415850644	0.1578988811914507	0.1374678437409837	18.5621
GSE83684	Rab8b	0.1014362657091561	0.0766008378216636	0.1092160383004189	0.0070317175344105	1.1327289607565416	21.2432
GSE83684	Rabggta	0.1029323758228605	0.1361460203470975	0.1364452423698384	0.0858767205266307	-0.4070641082617152	11.6406
GSE83684	Rad51d	0.0397965290245362	0.0194494314781567	0.0529622980251346	0.0330640335128665	0.447444000729809	10.6574
GSE83684	Ralb	0.0015218050796461	0.0064975109037831	0.0053006228128196	0.3055388400131956	-0.1271128323559351	13.6228
GSE83684	Rbm27	0.2214897775479045	0.1909169124265828	0.187839318602658	0.2392632341507647	0.5567642347009549	20.356
GSE83684	Rbm34	0.2705207457839534	0.2478304331176613	0.1838466524432597	0.2138376509164814	0.6812865474531917	15.0292
GSE83684	Rbm43	0.0712148414123279	0.0646319569120287	0.1265709156193895	0.0243865948533812	0.0679802449154909	10.0878
GSE83684	Rnaseh2c	0.2427313498522518	0.2567220169194336	0.2457986666573523	0.1015518212957594	-0.333347982534768	77.9624
GSE83684	Rnf138	0.1573907839616996	0.1439257929383602	0.1642728904847396	0.1268701376421304	0.4466259701910098	10.2225
GSE83684	Rpa1	0.0783076840681155	0.0349647337156855	0.0958663117916762	0.203238991074568	0.2081297647108879	121.738
GSE83684	Rpap1	0.0864751645721125	0.1134051466187911	0.1217833632555356	0.0330640335128665	-0.5464108989930376	13.7259
GSE83684	Rpia	0.3140886327128413	0.2392980466852665	0.2781297711821839	0.1056100399349502	0.5177961052402864	47.4655
GSE83684	Rpl11	0.3106090370024086	0.3246898783384806	0.2973744718026759	0.0671119355603409	-0.0102558398184964	2389.64
GSE83684	Rpl31	0.0439856373429084	0.1032315978456014	0.0763016157989227	0.0243865948533812	0.2960581246020428	360.221
GSE83684	Rps15a	0.0251346499102333	0.0344105326152004	0.0263315380011968	0.119539198084979	0.6291986411160133	71.2783
GSE83684	Rps3	0.2420578092290783	0.309891558213237	0.1916313305250706	0.1274921585201433	-0.2008311297063585	610.462
GSE83684	Sars2	0.0849790544584081	0.0912627169359664	0.0649311789347696	0.1229802513464991	-0.6662599258796909	12.3057
GSE83684	Sdad1	0.0769000598444045	0.0724117295032914	0.1140035906642728	0.0176540993417115	0.1636032222811536	36.1883
GSE83684	Sdhd	0.1169958108916816	0.1588868940754039	0.1663674446439258	0.0978456014362657	-0.0008047772138679	94.2952
GSE83684	Sec23ip	0.3045218166838243	0.2928347515296793	0.2601076536185971	0.2481636388050348	0.2301666668414794	27.3316
GSE83684	Sec24c	0.1250748055056852	0.1175942549371633	0.1283662477558348	0.0330640335128665	0.0032096048165053	51.6662
GSE83684	Sec62	0.1104129263913824	0.1277678037103531	0.0421903052064631	0.1035308198683423	0.0866568389614523	13.2189
GSE83684	Serbp1	0.3525878982767798	0.1577960719849188	0.3877026182623849	0.3850779948024192	0.0854813370078142	144.874
GSE83684	Sf3a1	0.1641619429931615	0.1126397209950757	0.1816557848470381	0.1033503901093113	-0.1776368388223907	89.5655
GSE83684	Sf3b1	0.2661383772976777	0.3084777331746448	0.1602205053378071	0.2465920068496067	0.5672417185605809	162.207
GSE83684	Sf3b2	0.3190900335029201	0.3199620046052009	0.2459497273847	0.0589181424694685	0.2734141924276008	154.281
GSE83684	Sh3kbp1	0.0831837223219629	0.080490724117295	0.0359066427289048	0.0435368043087971	-0.2090783338519002	14.4476
GSE83684	Sike1	0.0447647750198514	0.0613164774356755	0.0087802185232522	0.1924043194066618	0.1367858306135794	12.5622
GSE83684	Slc16a1	0.2764198126422548	0.2317404112189194	0.2518744892089432	0.0805814853679602	0.2177704565899372	31.0251
GSE83684	Slc1a5	0.16098144823459	0.1517055655296229	0.1508078994614003	0.0070317175344105	0.0793540696297565	72.1914
GSE83684	Slc7a1	0.0594043036742601	0.0249891139069547	0.033493655794545	0.2247270908866519	-0.393064253368296	27.2545
GSE83684	Smad2	0.0125673249551166	0.0469778575703171	0.0574506283662477	0.1154997007779772	0.540568353908184	11.5929
GSE83684	Snx1	0.2083066022800552	0.1918916633926307	0.0768420389535683	0.2929582531401735	0.6204330943916219	98.7216
GSE83684	Snx29	0.0180307465181966	0.0489053363977394	0.0856415343453324	0.1584494128495484	0.5384161787882569	74.4991
GSE83684	Soat1	0.0272292040694195	0.0101735487731897	0.0209455415918611	0.1406343506882106	0.5808464314828803	11.9443
GSE83684	Socs3	0.0867743865948533	0.0523638539796529	0.1002393776181927	0.0070317175344105	-2.273431492877544	16.999
GSE83684	Sprtn	0.0718132854578097	0.0939557151406343	0.0314183123877917	0.0070317175344105	-0.076876949067449	17.697
GSE83684	Sptlc2	0.0703171753441053	0.0224416517055655	0.087672052663076	0.0978456014362657	0.1495431951288086	13.3501
